StaffID,StoreID,FirstName,LastName,Role
STAFF00542,STORE078,Bianca,Chang,Stocker
STAFF00543,STORE013,Angela,Davis,Cashier
STAFF00544,STORE074,Shane,Smith,Stocker
STAFF00545,STORE036,Mary,Moore,Stocker
STAFF00546,STORE049,Jessica,Myers,Manager
STAFF00547,STORE010,Daniel,Castillo,Cashier
STAFF00548,STORE009,Steven,Fleming,Cashier
STAFF00549,STORE009,Michael,Gonzalez,Manager
STAFF00550,STORE041,Anthony,Martin,Sales
STAFF00551,STORE007,Carl,Smith,Cashier
STAFF00552,STORE026,Jesus,Spencer,Stocker
STAFF00553,STORE074,Samantha,Baker,Stocker
STAFF00554,STORE032,Mark,Thomas,Manager
STAFF00555,STORE066,Rebecca,Gray,Cashier
STAFF00556,STORE052,Anthony,Allen,Cashier
STAFF00557,STORE070,Angela,Austin,Manager
STAFF00558,STORE032,Cody,Meyer,Manager
STAFF00559,STORE017,Lisa,Smith,Cashier
STAFF00560,STORE071,Brian,Lucas,Stocker
STAFF00561,STORE015,Curtis,Hess,Sales
STAFF00562,STORE052,Brian,Thompson,Sales
STAFF00563,STORE005,Barbara,Arnold,Stocker
STAFF00564,STORE027,Nicole,Ferguson,Cashier
STAFF00565,STORE019,Anthony,Ball,Cashier
STAFF00566,STORE073,Laurie,Anderson,Manager
STAFF00567,STORE012,Alexander,Davis,Sales
STAFF00568,STORE049,Valerie,Wilson,Cashier
STAFF00569,STORE051,Amber,Woods,Cashier
STAFF00570,STORE030,Mark,Dawson,Cashier
STAFF00571,STORE045,Matthew,Gonzalez,Stocker
STAFF00572,STORE048,Susan,Johnson,Cashier
STAFF00573,STORE040,Dominic,Stewart,Sales
STAFF00574,STORE063,Alexandria,Olson,Sales
STAFF00575,STORE001,Amy,Ellis,Cashier
STAFF00576,STORE073,Justin,Martinez,Stocker
STAFF00577,STORE077,Lauren,Johnson,Stocker
STAFF00578,STORE016,Amanda,Gibson,Sales
STAFF00579,STORE014,Jamie,Mcgee,Cashier
STAFF00580,STORE077,Lynn,George,Cashier
STAFF00581,STORE074,Holly,Brown,Stocker
STAFF00582,STORE004,Donald,Bauer,Stocker
STAFF00583,STORE038,Gregory,Juarez,Cashier
STAFF00584,STORE010,Henry,Zimmerman,Stocker
STAFF00585,STORE036,Alexander,Ferrell,Cashier
STAFF00586,STORE046,Matthew,Hanson,Stocker
STAFF00587,STORE073,Gary,Reeves,Manager
STAFF00588,STORE077,Edward,Gallagher,Manager
STAFF00589,STORE054,Maria,Lynch,Cashier
STAFF00590,STORE075,Richard,Wright,Cashier
STAFF00591,STORE024,Pamela,Simmons,Cashier
STAFF00592,STORE059,Natasha,Morris,Stocker
STAFF00593,STORE068,Tony,Brown,Sales
STAFF00594,STORE048,Michael,Potter,Sales
STAFF00595,STORE032,Mary,Martin,Stocker
STAFF00596,STORE068,Madison,Nguyen,Cashier
STAFF00597,STORE024,Stephanie,Baker,Sales
STAFF00598,STORE031,Carol,Vasquez,Cashier
STAFF00599,STORE017,George,Soto,Cashier
STAFF00600,STORE008,Megan,Castillo,Manager
